,Ciudad,Orden,Modalidad de Contratacion,Tipo de Contrato,Codigo de Categoria Principal
86,Agua De Dios,,,,V1.80101604
87,Valdivia,,,,V1.70122000
88,Galapa,,,,V1.78181500
89,Aguazul,,,,V1.80161501
90,Boavita,,,,V1.86101508
91,Mocoa,,,,V1.76111500
92,Riohacha,,,,V1.95122300
93,Potosí,,,,V1.80131500
94,Candelaria,,,,V1.86121500
95,Sampués,,,,V1.56101500
96,Peñol,,,,V1.80121601
97,Puerto López,,,,V1.23121614
98,Maicao,,,,V1.80141500
99,Mosquera,,,,V1.85101705
100,Cartago,,,,V1.91111903
101,Neiva,,,,V1.95111503
102,Albania,,,,V1.77101700
103,Norcasia,,,,V1.45111713
104,La Estrella,,,,V1.50181901
105,Pradera,,,,V1.78181507
106,La Tebaida,,,,V1.80101601
107,Chinácota,,,,V1.70151800
108,Encino,,,,V1.93131600
109,La Dorada,,,,V1.93151507
110,Betulia,,,,V1.84111501
111,Quimbaya,,,,V1.78131800
112,Socotá,,,,V1.72151600
113,Tibasosa,,,,V1.90141600
114,Castilla La Nueva,,,,V1.85121902
115,La Jagua De Ibirico,,,,V1.25101503
116,Tibú,,,,V1.46191600
117,Magangué,,,,V1.93141703
118,Cajicá,,,,V1.95111600
119,Itagui,,,,V1.80101507
120,Envigado,,,,V1.80161506
121,Caucasia,,,,V1.86111600
122,Tenjo,,,,V1.77111501
123,Turbo,,,,V1.84111502
124,Santa Rosa,,,,V1.70141803
125,Puerto Boyacá,,,,V1.14111500
126,Puerto Rico,,,,V1.86131601
127,Landázuri,,,,V1.85121901
128,Anserma,,,,V1.47131700
129,Distrito Capital,,,,V1.92101501
130,Buriticá,,,,V1.90152100
131,El Carmen De Viboral,,,,V1.41115600
132,Sabaneta,,,,V1.56101606
133,Palmira,,,,V1.55101500
134,Espinal,,,,V1.86101808
135,Sogamoso,,,,V1.81111803
136,Dagua,,,,V1.81161501
137,Guatape,,,,V1.82101603
138,Girardota,,,,V1.84111802
139,Sevilla,,,,V1.42271718
140,Sitionuevo,,,,V1.92121504
141,Somondoco,,,,V1.80121609
142,Samacá,,,,V1.85121700
143,San Luis,,,,V1.94121514
144,San Andrés,,,,V1.80101700
145,Ocaña,,,,V1.50221303
146,Tame,,,,V1.85122101
147,La Ceja,,,,V1.85121608
148,Guamo,,,,V1.81112501
149,Inírida,,,,V1.30121600
150,Guarne,,,,V1.93141808
151,Falan,,,,V1.82151704
152,Mogotes,,,,V1.81111501
153,Villamaría,,,,V1.84111603
154,Paipa,,,,V1.80101506
155,Abrego,,,,V1.81111820
156,Valle De San Juan,,,,V1.85122102
157,Madrid,,,,V1.82121505
158,Sibaté,,,,V1.49101707
159,Rionegro,,,,V1.83121700
160,Yarumal,,,,V1.80131802
161,Funza,,,,V1.46171610
162,Puerto Carreño,,,,V1.86132001
163,Alejandría,,,,V1.81111500
164,Arauca,,,,V1.85111502
165,San José Del Guaviare,,,,V1.72151500
166,Piendamó,,,,V1.72153600
167,Mariquita,,,,V1.78111808
168,Puerres,,,,V1.72111001
169,Choachí,,,,V1.40141700
170,Zarzal,,,,V1.43202000
171,La Mesa,,,,V1.80111504
172,La Unión,,,,V1.85122003
173,Pesca,,,,V1.94131603
174,Circasia,,,,V1.78101800
175,Facatativá,,,,V1.80121700
176,Soatá,,,,V1.77101604
177,San Mateo,,,,V1.73152103
178,Pamplona,,,,V1.86131900
179,La Llanada,,,,V1.84121803
180,Pitalito,,,,V1.71121618
181,El Cerrito,,,,V1.80131501
182,Tuluá,,,,V1.42291609
183,La Salina,,,,V1.42295400
184,Abejorral,,,,V1.84131500
185,Támesis,,,,V1.82101601
186,Clemencia,,,,V1.81101700
187,Santa Rosa Del Sur,,,,V1.93141700
188,Corrales,,,,V1.72154010
189,Turbaná,,,,V1.14111818
190,San Antonio Del Tequendama,,,,V1.93141509
191,Puerto Colombia,,,,V1.81101505
192,Santafé De Antioquia,,,,V1.80141902
193,Apartadó,,,,V1.93141504
194,Tasco,,,,V1.43231500
195,Venecia,,,,V1.51181800
196,Zetaquira,,,,V1.86111701
197,Maceo,,,,V1.72101500
198,La Plata,,,,V1.80111703
199,Riosucio,,,,V1.81141900
200,Altamira,,,,V1.80111612
201,Simití,,,,V1.12141900
202,Pamplonita,,,,V1.85121502
203,La Uvita,,,,V1.46171622
204,Acevedo,,,,V1.81151700
205,Montenegro,,,,V1.86101810
206,Yumbo,,,,V1.77101503
207,Melgar,,,,V1.48101908
208,Cucaita,,,,V1.90141603
209,La Paz,,,,V1.31162800
210,Ipiales,,,,V1.82101602
211,Vélez,,,,V1.85122001
212,San Martín,,,,V1.72101507
213,Sonson,,,,V1.44121600
214,El Santuario,,,,V1.77101805
215,Gama,,,,V1.80131502
216,Briceño,,,,V1.80101603
217,Curití,,,,V1.81151600
218,Villagarzón,,,,V1.42142800
219,Piedecuesta,,,,V1.90141500
220,Fresno,,,,V1.93131609
221,Filandia,,,,V1.80111623
222,Puerto Salgar,,,,V1.82101801
223,Chinchiná,,,,V1.86111802
224,Bosconia,,,,V1.44102304
225,Honda,,,,V1.11111600
226,Villanueva,,,,V1.52161547
227,Ortega,,,,V1.86101702
228,Gachantivá,,,,V1.81101512
229,Manzanares,,,,V1.83121703
230,Aguachica,,,,V1.43233201
231,Carepa,,,,V1.93141501
232,Don Matías,,,,V1.85131708
233,Arboletes,,,,V1.85101702
234,Duitama,,,,V1.77101600
235,Sopó,,,,V1.50111500
236,Garzón,,,,V1.82111804
237,Santa Rosa De Osos,,,,V1.11162100
238,Simacota,,,,V1.20102301
239,Villa De San Diego De Ubate,,,,V1.93142009
240,Güicán,,,,V1.93141707
241,Campoalegre,,,,V1.90101603
242,Calarca,,,,V1.72151400
243,Buenaventura,,,,V1.84111701
244,Fuente De Oro,,,,V1.84131503
245,Barbosa,,,,V1.93131502
246,Angelópolis,,,,V1.72101511
247,Saldaña,,,,V1.43201800
248,Yondó,,,,V1.81141606
