,Ciudad,Orden,Modalidad de Contratacion,Tipo de Contrato,Codigo de Categoria Principal
158,Madrid,,,,V1.82121505
159,Sibaté,,,,V1.49101707
160,Rionegro,,,,V1.83121700
161,Yarumal,,,,V1.80131802
162,Funza,,,,V1.46171610
163,Puerto Carreño,,,,V1.86132001
164,Alejandría,,,,V1.81111500
165,Arauca,,,,V1.85111502
166,San José Del Guaviare,,,,V1.72151500
167,Piendamó,,,,V1.72153600
168,Mariquita,,,,V1.78111808
169,Puerres,,,,V1.72111001
170,Choachí,,,,V1.40141700
171,Zarzal,,,,V1.43202000
172,La Mesa,,,,V1.80111504
173,La Unión,,,,V1.85122003
174,Pesca,,,,V1.94131603
175,Circasia,,,,V1.78101800
176,Facatativá,,,,V1.80121700
177,Soatá,,,,V1.77101604
178,San Mateo,,,,V1.73152103
179,Pamplona,,,,V1.86131900
180,La Llanada,,,,V1.84121803
181,Pitalito,,,,V1.71121618
182,El Cerrito,,,,V1.80131501
183,Tuluá,,,,V1.70161704
184,La Salina,,,,V1.42291609
185,Abejorral,,,,V1.42295400
186,Támesis,,,,V1.84131500
187,Clemencia,,,,V1.82101601
188,Santa Rosa Del Sur,,,,V1.81101700
189,Corrales,,,,V1.93141700
190,Turbaná,,,,V1.72154010
191,San Antonio Del Tequendama,,,,V1.14111818
192,Puerto Colombia,,,,V1.93141509
193,Santafé De Antioquia,,,,V1.81101505
194,Apartadó,,,,V1.80141902
195,Tasco,,,,V1.93141504
196,Venecia,,,,V1.43231500
197,Zetaquira,,,,V1.51181800
198,Maceo,,,,V1.86111701
199,La Plata,,,,V1.72101500
200,Riosucio,,,,V1.80111703
201,Altamira,,,,V1.81141900
202,Simití,,,,V1.80111612
203,Pamplonita,,,,V1.12141900
204,La Uvita,,,,V1.85121502
205,Acevedo,,,,V1.46171622
206,Montenegro,,,,V1.81151700
207,Yumbo,,,,V1.86101810
208,Melgar,,,,V1.77101503
209,Cucaita,,,,V1.48101908
210,La Paz,,,,V1.90141603
211,Ipiales,,,,V1.31162800
212,Vélez,,,,V1.82101602
213,San Martín,,,,V1.85122001
214,Sonson,,,,V1.80101504
215,El Santuario,,,,V1.72101507
216,Gama,,,,V1.44121600
217,Briceño,,,,V1.77101805
218,Curití,,,,V1.80131502
219,Villagarzón,,,,V1.80101603
220,Piedecuesta,,,,V1.81151600
221,Fresno,,,,V1.42142800
222,Filandia,,,,V1.90141500
