;valor norm;predict
3090;-0.058910995856304695;-0.083794266
4218;-0.09188200229130021;-0.0941169
153;-0.07790227738921973;-0.08515158
3349;-0.08547472681840951;-0.05374972
5204;-0.07632955833773568;-0.08921283
5275;-0.08056425000599089;-0.08490692
6559;-0.08936776740729424;-0.09451566
3215;-0.04994282758505879;-0.08535545
1741;-0.09362946790406027;-0.08438905
315;-0.08815407565074541;-0.06691639
2119;-0.06625314737487735;-0.0740205
843;-0.09520218695554432;-0.069998
1744;-0.0837271627650866;-0.054213077
4991;-0.08086174321181547;-0.08473867
6225;-0.08974369152972779;-0.057673544
269;-0.09392071217285361;-0.08727728
4976;-0.09288155262179897;-0.087096475
540;-0.0943284541491643;-0.091266535
5782;-0.06900476497758311;-0.0682554
4545;-0.08057900444064797;-0.09733909
2130;-0.09258098853640423;-0.09029469
5088;-0.07790227738921973;-0.08620655
4251;-0.006663544799933186;-0.08109373
6685;-0.0945905739910783;-0.09082833
4777;-0.09362946790406027;-0.093566306
824;-0.08314467422749991;-0.09321363
2837;-0.09314442969881184;-0.094525956
1705;-0.08845988213297842;-0.08388702
5009;-0.08782568725288725;-0.084839925
506;-0.05470181718599578;-0.08162474
3950;-0.09502744039426832;-0.08939892
564;-0.09362946790406027;-0.0624885
5399;-0.09080719444174526;-0.08875953
4721;-0.09351297019654294;0.8874736
792;-0.08856473006974404;-0.08382588
3893;-0.09497210398319758;-0.075491555
4641;-0.09421195644164695;-0.09733997
5893;-0.08783811755827935;-0.08667979
4568;-0.09316347707399092;-0.0826004
5047;0.11490142855197345;-0.082374565
1553;-0.0945032007104403;-0.0916203
1962;-0.0904257809473335;-0.088369474
1101;0.7201070191045406;-0.06643388
1271;-0.0945905739910783;-0.09569367
3340;-0.08244808783517076;-0.08958297
1836;-0.08039066842179006;-0.08739436
6204;-0.0898118252139693;-0.08960235
2891;-0.08106024831556256;-0.0853811
5833;-0.08981999286824334;-0.092189826
1083;-0.07790227738921973;-0.07418851
3365;-0.08733859169812405;-0.07179022
2203;-0.09071702521612683;-0.08226287
3451;-0.09403720988037095;-0.07655506
2508;-0.08397038027146739;-0.08191544
6134;-0.09258098853640423;-0.092954405
274;-0.09418283201476763;-0.08727728
2048;-0.09343530525236089;-0.0921692
6718;-0.04576819048502877;-0.07151975
3050;-0.08139720861473985;-0.07460728
997;-0.09388576286059841;-0.09818218
5902;-0.09395391401949606;-0.08500936
6176;-0.0859986979750217;-0.08933647
5665;-0.09508743671363974;-0.07675749
2069;-0.09013453667854016;-0.08613913
6715;-0.09164900687626554;-0.0938631
3488;-0.0943284541491643;-0.09315728
5919;0.2328879767713823;-0.05758154
2351;-0.08966272096309494;-0.08257532
3803;-0.07906725446439311;-0.08975367
4848;-0.025478309006417964;-0.07853675
4927;-0.09444495185668163;-0.09355776
3686;-0.09494006711363032;-0.087449595
2923;-0.0948570624970242;-0.0020546897
2892;-0.09159075802250687;-0.09013699
4604;-0.09430904563109191;-0.09477887
1462;-0.09188200229130021;-0.09301587
4734;-0.09200511706860454;-0.09413116
4322;-0.06133241002686915;-0.050749633
4093;-0.08058172466211849;-0.08671469
1381;-0.09319260150087026;-0.08691409
1666;-0.06741750468224673;-0.09305531
1075;-0.0720970568263818;-0.0858425
512;-0.08525270024502614;-0.09080099
5445;-0.09362946790406027;-0.0755961
3776;-0.04329488590558194;-0.07692123
6111;-0.08588896121196013;-0.077146225
3466;-0.08710295178512874;-0.080044076
5510;-0.03863716310188147;-0.09014667
1255;-0.09393527438629327;-0.08963046
5346;-0.06628792194057129;-0.08506941
1636;-0.07744346281793346;-0.08967844
330;-0.09327997478150826;-0.09099797
652;-0.08489213984025998;-0.08422675
1406;-0.08008660940516982;-0.09175442
3696;-0.0904257809473335;-0.0842723
2080;-0.08838707106578009;-0.076982155
2666;-0.08576936757786552;-0.09954005
6974;-0.09130728065587371;-0.0851352
288;-0.09211499770633488;-0.08114711
4905;-0.09327997478150826;-0.09214481
1959;-0.08780458252819341;-0.08894283
4227;-0.034238936611721726;-0.08888185
829;-0.09421195644164695;-0.088971734
5246;-0.09298383760899918;-0.093320936
3740;-0.07615481177645968;-0.049173612
2469;-0.09452766522901894;-0.0919926
2180;-0.08217774325510602;-0.086608395
6344;-0.0858157860894258;-0.08523797
2769;-0.08955204814095347;-0.08799532
277;-0.09418283201476763;-0.08727728
1633;-0.08587390621321767;-0.08824649
2852;-0.08262043454367189;-0.09347913
6193;-0.0013268797641955922;-0.07411937
449;-0.09254603922414903;-0.091521114
1634;-0.09367315454437927;-0.08360383
3378;-0.09429962096655375;-0.07901426
3085;-0.08838707106578009;-0.07566083
3848;-0.025506268456222125;-0.029222693
1581;-0.09430107718789772;-0.087664425
6951;-0.09033724268962032;-0.09053185
6033;-0.08554999307479377;-0.08283564
4449;-0.09345472134278426;-0.09314549
2183;-0.09202599345779164;-0.09453817
4204;-0.07597807310438513;-0.07263241
1225;-0.08489213984025998;-0.08262037
4668;-0.09457135186933795;-0.09207638
1280;-0.08789625748668149;-0.082738146
528;-0.08139720861473985;-0.08426292
3304;-0.08605711691543334;-0.0875232
3528;-0.08307889496192733;-0.08140676
3591;-0.0938877042948942;-0.069938056
227;-0.09272078578542504;-0.09360416
1555;-0.08489213984025998;-0.09026785
2333;-0.09429932972228496;-0.09808692
782;-0.09327997478150826;-0.08992246
4763;-0.09496103670098344;-0.09616838
37;-0.08104771549218784;-0.105407745
5181;-0.09491094268675097;-0.07605504
1671;-0.08663960545302003;-0.092605464
1367;-0.08846200821614061;-0.053927597
1195;-0.0919065250587326;-0.08812647
2005;-0.0928192729473602;-0.08993434
2386;-0.09374596561157761;-0.07660743
3144;-0.09422269170539468;-0.07830687
4381;-0.03746477851997561;-0.08408258
5546;-0.07935849873318646;-0.09251779
1853;-0.09142241883514432;-0.09004541
1728;-0.09380023082622772;-0.09276597
2497;-0.09427020529540563;-0.093287535
3826;-0.08489213984025998;-0.07895326
3021;-0.0907752740698855;-0.0700221
2254;-0.09345472134278426;-0.09321311
3213;-0.07260308791852486;-0.076124586
4261;0.2606863510202444;-0.034898266
5192;-0.09199849999881755;-0.08487996
1876;-0.08596974363479534;-0.08709122
5394;-0.08665533264353488;-0.08456224
3244;-0.09013453667854016;-0.09251351
210;-0.0796497430019798;-0.076058656
4436;-0.09155547028441133;-0.09809421
6345;-0.09327997478150826;-0.080509156
1906;-0.09322172592774959;-0.023088597
3980;-0.08681920589127975;-0.090127684
223;-0.09461969841795764;-0.09388343
431;-0.09304697936647359;-0.094001494
1152;-0.09386246331909494;-0.093665525
441;-0.09280961528740701;-0.09255124
6701;-0.09275573509768024;-0.09134383
5729;-0.09362946790406027;-0.07827741
485;-0.0943284541491643;-0.0813644
6417;-0.0945189209110927;-0.0949876
1451;-0.09468784957685528;-0.08999451
549;-0.09231886869449023;-0.093401365
3097;-0.04762673666190661;0.020768987
3713;-0.09136431618600858;-0.097709306
6355;-0.07382485762611293;-0.07630552
6881;-0.09421195644164695;-0.09510301
5785;-0.09258098853640423;-0.09195188
1066;-0.09304697936647359;-0.08572319
1290;-0.08939710560746687;-0.0913743
1209;-0.09278870394890765;-0.09350194
6635;-0.07708408602987567;-0.090960465
2974;-0.09421195644164695;-0.088956416
1373;-0.09293048165895625;-0.09080708
4855;0.021120774000516946;-0.014996195
1790;-0.09230164101350256;-0.07449911
5738;-0.08436790015643196;-0.080605924
2207;-0.09304697936647359;-0.08440173
5019;-0.07322431194386106;-0.080023594
6347;-0.09046131274812629;-0.08634252
3581;-0.08314467422749991;-0.08911111
6119;-0.0945032007104403;-0.08260594
1637;-0.082567311589044;-0.07914195
5762;0.1635549486309766;-0.08445391
3394;-0.04916215314744361;-0.056346096
6585;-0.08629011233046802;-0.09103356
4049;-0.0940570144906489;-0.09496836
5005;-0.09226325268892145;-0.0908342
1974;-0.08744923073593035;-0.08915568
3822;-0.09188200229130021;-0.08898967
5123;-0.09075197452838205;-0.08761507
5997;-0.09427020529540563;-0.09305675
743;-0.09048402980109216;-0.090038896
4236;-0.09456144956419897;-0.075473554
1660;-0.08978504355598814;-0.08636771
2967;-0.09386246331909494;-0.08180617
5080;-0.09479522434889694;-0.092541985
2639;-0.09505656482114765;-0.094321564
1650;-0.09013453667854016;-0.088080145
2148;-0.09414671772543724;-0.089612365
6781;-0.09327997478150826;-0.08686616
1401;-0.09454292642870371;-0.09437919
5430;-0.09456144956419897;-0.08470629
1522;-0.08955204814095347;-0.07833399
3995;-0.09461969841795764;-0.091218114
6912;-0.0945032007104403;-0.09462576
2992;-0.03329782036633659;-0.08222368
3093;-0.09440417765905057;-0.08874076
3685;-0.09489346803062337;-0.09926614
6777;-0.08892296052035985;-0.080890395
2545;-0.09479129954113068;-0.08259137
948;-0.09475949566697844;-0.07408356
2947;-0.09081896071020451;-0.09086024
1928;-0.08167680311278147;-0.06958483
826;-0.08722209399060672;-0.084508106
2982;-0.09485793622983059;-0.07673592
4351;-0.09364037791436927;-0.09309947
2581;-0.08722209399060672;0.11593774
1860;-0.09100826948492018;-0.09144547
4523;-0.08212531928672322;-0.094148
2796;-0.08838707106578009;-0.09228811
5460;-0.09331879065267595;-0.09094078
3172;-0.09348967065503946;-0.046022877
189;-0.09479444497923364;-0.094256274
5777;0.12381932806242563;-0.075343564
5789;-0.09393585687483087;-0.07030882
1647;-0.06986632610348172;-0.08535988
4798;-0.09275573509768024;-0.0926144
879;-0.09266253693166637;-0.07747531
4458;-0.0937022789712586;-0.09106389
5672;-0.08653475751625443;-0.087557465
786;-0.08859966773222848;-0.07413953
3082;-0.09092089620428218;-0.093300045
1560;-0.0943284541491643;-0.083697446
6328;-0.0924644908288869;-0.088368
1821;-0.0929452139590489;-0.085898876
2775;-0.09421195644164695;-0.08919351
6418;-0.0945189209110927;-0.09248235
217;-0.09013453667854016;-0.09093983
6747;-0.09275573509768024;-0.09452496
1257;-0.09472163391203531;-0.09520099
3278;-0.0914451358881102;-0.09167922
5491;-0.08812495122386609;-0.08580932
6173;-0.08069822236963584;-0.094599314
613;-0.08083537919811576;-0.09056648
5467;-0.02818187130477281;-0.08647723
4587;-0.09083934780902005;-0.050805572
1582;-0.09430107718789772;-0.093480006
3527;-0.0913420284270949;-0.090466924
97;-0.09473446846447249;-0.06911593
5052;0.005423304963306775;-0.09340113
4124;-0.0924256580655516;-0.09213528
411;-0.09333822363526692;-0.0985991
5149;-0.09327997478150826;-0.089223236
3026;-0.09327997478150826;-0.093836024
2561;-0.09217324656009356;-0.09468008
2127;-0.09484636917245119;-0.09453817
947;-0.09129951375371352;-0.08206458
809;-0.09421195644164695;-0.09490248
4088;-0.09488764314524752;-0.0823049
1766;-0.09416244491595209;-0.07891324
5370;-0.0926963212668464;-0.09359563
2171;-0.09485269383299232;-0.092008345
2132;-0.09421195644164695;-0.09466646
4283;-0.09210334793558315;-0.089241244
1726;-0.09337427967574355;-0.094547845
6447;-0.08770264703411573;-0.08043676
730;-0.07615481177645968;-0.0930651
6973;-0.09461969841795764;-0.09289788
3054;-0.09456144956419897;-0.089272
1986;-0.058519339883448006;-0.08201478
1478;-0.09508568924802699;-0.08640368
2777;-0.0837271627650866;-0.084071524
4080;-0.09374596561157761;-0.094456695
638;-0.08955204814095347;-0.073427744
